epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0277,0,15.1308,0,0,0,0,0,0,23.2915,0,0.00013332,0.00013332,0.00013332
2,92.1084,0,14.3257,0,0,0,0,0,0,23.2487,0,0.000272251,0.000272251,0.000272251
3,138.393,0,13.4556,0,0,0,0,0,0,22.3911,0,0.000405462,0.000405462,0.000405462
4,184.992,0,12.5662,0,0,0,0,0,0,21.6263,0,0.000532953,0.000532953,0.000532953
