epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1437.94,0.9466,3.16152,1.43918,0.31521,0.46953,0.36833,0.24508,0.95734,3.46665,1.45648,0.000254817,0.000254817,0.000254817
2,2825.02,0.95158,2.31783,1.42999,0.45153,0.5342,0.45026,0.3217,0.95412,2.27882,1.49887,0.000460546,0.000460546,0.000460546
3,4104.24,0.94389,2.03218,1.40847,0.51265,0.57704,0.56884,0.39506,1.04192,2.01176,1.50228,0.000615522,0.000615522,0.000615522
4,5388.67,0.92483,1.81533,1.39026,0.62613,0.55729,0.61355,0.45869,0.87165,1.77703,1.40337,0.000540607,0.000540607,0.000540607
