epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9483,0,15.1308,0,0,0,0,0,0,23.2915,0,0.00013332,0.00013332,0.00013332
2,81.9597,0,14.3257,0,0,0,0,0,0,23.2487,0,0.000272251,0.000272251,0.000272251
3,117.661,0,13.4556,0,0,0,0,0,0,22.3911,0,0.000405462,0.000405462,0.000405462
4,158.319,0,12.5662,0,0,0,0,0,0,21.6263,0,0.000532953,0.000532953,0.000532953
5,196.491,0,11.7781,0,0,0,0,0,0,17.4718,0,0.000654726,0.000654726,0.000654726
6,230.348,0,11.167,0,0,0,0,0,0,32.7074,0,0.000770778,0.000770778,0.000770778
7,264.544,0,10.6165,0,0,0,0,0,0,18.6347,0,0.000881112,0.000881112,0.000881112
8,297.293,0,10.237,0,0,0,0,0,0,13.5277,0,0.000957015,0.000957015,0.000957015
9,329.628,0,9.78929,0,0,0,0,0,0,12.9247,0,0.000935018,0.000935018,0.000935018
