epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2347,4.06284,4.66158,2.94562,0,0,0,0,0,23.426,0,0.00013332,0.00013332,0.00013332
2,29.7671,3.38852,4.2496,2.23937,0,0,0,0,0,23.3469,0,0.000272251,0.000272251,0.000272251
3,45.8092,3.03804,3.49742,1.99103,0,0,0,0,0,22.8145,0,0.000405462,0.000405462,0.000405462
4,62.9199,2.7889,2.93486,1.75177,0,0,0,0,0,54.8693,0,0.000532953,0.000532953,0.000532953
5,79.7673,2.62299,2.57624,1.63367,0,0,0,0,0,49.8767,0,0.000654726,0.000654726,0.000654726
6,96.4296,2.54295,2.55969,1.64849,0,0,0,0,0,185.061,0,0.000770778,0.000770778,0.000770778
7,111.273,2.38234,2.76056,1.6644,0,0,0,0,0,172.818,0,0.000881112,0.000881112,0.000881112
8,128.941,2.30239,2.54688,1.57936,0,0,0,0,0,595.927,0,0.000957015,0.000957015,0.000957015
9,143.838,2.30477,2.36044,1.52759,0,0,0,0,0,361.588,0,0.000935018,0.000935018,0.000935018
10,158.493,2.23665,2.21743,1.46825,0,0,0,0,0,290.213,0,0.00091302,0.00091302,0.00091302
11,173.149,2.22674,2.19394,1.52871,0,0,0,0,0,154.084,0,0.000891022,0.000891022,0.000891022
12,188.384,2.17245,2.1235,1.48328,0,0,0,0,0,131.14,0,0.000869024,0.000869024,0.000869024
13,203.216,2.14745,2.1444,1.47137,0,0,0,0,0,104.146,0,0.000847026,0.000847026,0.000847026
14,217.755,2.01934,2.04291,1.44569,0,0,0,0,0,96.0512,0,0.000825029,0.000825029,0.000825029
15,233.034,2.00718,2.0404,1.42088,0,0,0,0,0,61.5969,0,0.000803031,0.000803031,0.000803031
16,248.065,2.00661,1.97618,1.42552,0,0,0,0,0,46.5076,0,0.000781033,0.000781033,0.000781033
17,263.841,1.97966,2.00946,1.41979,0,0,0,0,0,62.5084,0,0.000759035,0.000759035,0.000759035
18,278.951,2.08178,2.02428,1.41925,0,0,0,0,0,40.8128,0,0.000737037,0.000737037,0.000737037
19,293.85,1.96199,1.93045,1.35817,0,0,0,0,0,39.357,0,0.00071504,0.00071504,0.00071504
20,309.782,1.90106,1.89893,1.33502,0,0,0,0,0,71.943,0,0.000693042,0.000693042,0.000693042
21,325.279,1.84626,1.87447,1.34176,0,0,0,0,0,86.7424,0,0.000671044,0.000671044,0.000671044
22,341.45,1.86226,1.8775,1.35902,0,0,0,0,0,43.8194,0,0.000649046,0.000649046,0.000649046
23,358.249,1.74864,1.84944,1.34318,0,0,0,0,0,40.9994,0,0.000627048,0.000627048,0.000627048
24,374.404,1.86794,1.81251,1.38887,0,0,0,0,0,58.9139,0,0.000605051,0.000605051,0.000605051
25,390.021,1.76567,1.81956,1.32693,0,0,0,0,0,74.8913,0,0.000583053,0.000583053,0.000583053
26,404.771,1.85069,1.89434,1.41238,0,0,0,0,0,65.4045,0,0.000561055,0.000561055,0.000561055
27,419.552,1.97356,1.86436,1.72132,0,0,0,0,0,57.5839,0,0.000539057,0.000539057,0.000539057
28,434.454,1.71942,1.80455,1.31175,0,0,0,0,0,58.9668,0,0.000517059,0.000517059,0.000517059
29,449.973,1.77017,1.77472,1.29493,0,0,0,0,0,61.0423,0,0.000495062,0.000495062,0.000495062
30,465.674,1.71243,1.71954,1.3081,0,0,0,0,0,91.4591,0,0.000473064,0.000473064,0.000473064
31,481.976,1.80616,1.82753,1.35454,0,0,0,0,0,82.2955,0,0.000451066,0.000451066,0.000451066
32,497.541,1.69519,1.76316,1.27446,0,0,0,0,0,51.4669,0,0.000429068,0.000429068,0.000429068
33,513.418,1.6569,1.71777,1.2585,0,0,0,0,0,65.9716,0,0.00040707,0.00040707,0.00040707
