epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.723,0,123.013,0,0,0,0,0,0,162.69,0,0.00013332,0.00013332,0.00013332
2,234.488,0,114.272,0,0,0,0,0,0,159.678,0,0.000272251,0.000272251,0.000272251
3,363.799,0,105.885,0,0,0,0,0,0,145.557,0,0.000405462,0.000405462,0.000405462
4,480.187,0,97.3303,0,0,0,0,0,0,131.865,0,0.000532953,0.000532953,0.000532953
5,573.915,0,92.5011,0,0,0,0,0,0,124.312,0,0.000654726,0.000654726,0.000654726
6,671.826,0,89.3858,0,0,0,0,0,0,111.234,0,0.000770778,0.000770778,0.000770778
7,767.052,0,85.3151,0,0,0,0,0,0,111.511,0,0.000881112,0.000881112,0.000881112
8,856.711,0,81.8704,0,0,0,0,0,0,111.289,0,0.000957015,0.000957015,0.000957015
9,943.742,0,78.7068,0,0,0,0,0,0,85.0953,0,0.000935018,0.000935018,0.000935018
10,1032.25,0,75.3789,0,0,0,0,0,0,108.154,0,0.00091302,0.00091302,0.00091302
11,1126.78,0,72.382,0,0,0,0,0,0,92.8833,0,0.000891022,0.000891022,0.000891022
12,1231.51,0,69.5416,0,0,0,0,0,0,93.8135,0,0.000869024,0.000869024,0.000869024
13,1356.98,0,66.3372,0,0,0,0,0,0,93.8723,0,0.000847026,0.000847026,0.000847026
