epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.032,0,122.848,0,0,0,0,0,0,162.791,0,0.00013332,0.00013332,0.00013332
2,236.617,0,113.184,0,0,0,0,0,0,160.534,0,0.000250253,0.000250253,0.000250253
3,356.287,0,105.169,0,0,0,0,0,0,155.537,0,0.000338588,0.000338588,0.000338588
4,482.646,0,99.8636,0,0,0,0,0,0,138.27,0,0.000398327,0.000398327,0.000398327
5,610.546,0,96.0366,0,0,0,0,0,0,128.013,0,0.000429468,0.000429468,0.000429468
6,753.832,0,93.3333,0,0,0,0,0,0,122.412,0,0.000432012,0.000432012,0.000432012
7,893.324,0,90.9404,0,0,0,0,0,0,119.713,0,0.000405959,0.000405959,0.000405959
8,1020.63,0,89.1851,0,0,0,0,0,0,116.545,0,0.000341077,0.000341077,0.000341077
9,1149.05,0,87.9872,0,0,0,0,0,0,116.869,0,0.000231088,0.000231088,0.000231088
10,1277.27,0,87.1106,0,0,0,0,0,0,117.504,0,0.000121099,0.000121099,0.000121099
